Amon.tasmax	K	-	-	-	-	-	-	-	-
Amon.tasmin	K	-	-	-	-	-	-	-	-
Amon.tauu	Pa	-	-	-	-	-	-	-	-
Amon.tauv	Pa	-	-	-	-	-	-	-	-
Amon.ts	K	-	-	-	-	-	-	-	-
Amon.ua	m s-1	-	-	-	-	-	-	-	-
Amon.va	m s-1	-	-	-	-	-	-	-	-
Amon.zg	m	-	-	-	-	-	-	-	-
CF3hr.pr	kg m-2 s-1	-	-	-	-	-	-	-	-
CF3hr.prw	kg m-2	-	-	-	-	-	-	-	-
CF3hr.psl	Pa	-	-	-	-	-	-	-	-
CFday.ps	Pa	-	-	-	-	-	-	-	-
CFmon.clisccp	%	-	-	-	-	-	-	-	-
CFmon.hus	1	-	-	-	-	-	-	-	-
CFmon.ps	Pa	-	-	-	-	-	-	-	-
CFmon.smc	kg m-2 s-1	-	-	-	-	-	-	-	-
CFmon.ta	K	-	-	-	-	-	-	-	-
E3hr.prw	kg m-2	-	-	-	-	-	-	-	-
E3hr.psl	Pa	-	-	-	-	-	-	-	-
E3hr.uas	m s-1	-	-	-	-	-	-	-	-
E3hr.vas	m s-1	-	-	-	-	-	-	-	-
Eday.hus850	1	-	-	-	-	-	-	-	-
EdayZ.ta	K	-	-	-	-	-	-	-	-
EdayZ.ua	m s-1	-	-	-	-	-	-	-	-
EdayZ.va	m s-1	-	-	-	-	-	-	-	-
EdayZ.zg	m	-	-	-	-	-	-	-	-
Emon.cSoil	kg m-2	-	-	-	-	-	-	-	-
Emon.evspsblpot	kg m-2 s-1	-	-	-	-	-	-	-	-
Emon.hus	1	-	-	-	-	-	-	-	-
Emon.hus27	1	-	-	-	-	-	-	-	-
Emon.mmrno3	kg kg-1	-	-	-	-	-	-	-	-
Emon.mrtws	kg m-2	-	-	-	-	-	-	-	-
Emon.ps	Pa	-	-	-	-	-	-	-	-
Emon.rss	W m-2	-	-	-	-	-	-	-	-
Emon.sweLut	m	-	-	-	-	-	-	-	-
Emon.ta27	K	-	-	-	-	-	-	-	-
Emon.ua	m s-1	-	-	-	-	-	-	-	-
Emon.ua27	m s-1	-	-	-	-	-	-	-	-
Emon.va	m s-1	-	-	-	-	-	-	-	-
Emon.va27	m s-1	-	-	-	-	-	-	-	-
Emon.zg27	m	-	-	-	-	-	-	-	-
EmonZ.wtem	m s-1	-	-	-	-	-	-	-	-
ImonAnt.acabf	kg m-2 s-1	-	-	-	-	-	-	-	-
ImonAnt.hfls	W m-2	-	-	-	-	-	-	-	-
ImonAnt.hfss	W m-2	-	-	-	-	-	-	-	-
ImonAnt.prsn	kg m-2 s-1	-	-	-	-	-	-	-	-
ImonAnt.rlds	W m-2	-	-	-	-	-	-	-	-
ImonAnt.rlus	W m-2	-	-	-	-	-	-	-	-
ImonAnt.rsds	W m-2	-	-	-	-	-	-	-	-
ImonAnt.rsus	W m-2	-	-	-	-	-	-	-	-
ImonAnt.sbl	kg m-2 s-1	-	-	-	-	-	-	-	-
ImonAnt.snc	%	-	-	-	-	-	-	-	-
ImonAnt.snm	kg m-2 s-1	-	-	-	-	-	-	-	-
ImonAnt.tas	K	-	-	-	-	-	-	-	-
ImonAnt.ts	K	-	-	-	-	-	-	-	-
ImonAnt.tsn	K	-	-	-	-	-	-	-	-
ImonGre.acabf	kg m-2 s-1	-	-	-	-	-	-	-	-
ImonGre.hfls	W m-2	-	-	-	-	-	-	-	-
ImonGre.hfss	W m-2	-	-	-	-	-	-	-	-
ImonGre.prsn	kg m-2 s-1	-	-	-	-	-	-	-	-
